Experiment,Trial,Object,Pose,Score,Inference Time
0,0,tennis_ball,0,1,5.39e+16
0,0,tennis_ball,1,1,2.13e+16
0,0,tennis_ball,2,1,1.99e+16
0,0,tennis_ball,3,1,3.06e+16
0,0,tennis_ball,4,1,2.47e+16
0,0,tennis_ball,5,1,3.86e+16
0,0,flat_screwdriver,0,1,2.5e+16
0,0,flat_screwdriver,1,0,2.83e+16
0,0,flat_screwdriver,2,0,3.47e+16
0,0,flat_screwdriver,3,1,2.56e+16
